1 B 96 95
2 S 98 17
3 B 99 25
4 B 99 83
5 B 97 37
6 S 105 6
7 B 98 63
8 B 101 43
9 S 100 36
10 B 101 82
11 S 100 40
12 S 101 87
13 B 99 90
14 B 100 64
15 S 100 97
16 B 105 39
17 S 105 68
18 S 100 20
19 B 99 12
20 B 104 15
21 B 95 25
22 S 96 100
23 S 98 5
24 S 101 24
25 B 95 83
26 B 96 57
27 B 104 28
28 S 104 98
29 B 105 70
30 B 105 81
31 S 100 5
32 S 95 19
33 B 105 34
34 S 95 28
35 B 102 26
36 S 101 30
37 S 95 12
38 S 98 50
39 B 103 31
40 B 103 91
41 S 96 20
42 S 105 36
43 S 101 8
44 S 96 30
45 S 98 94
46 S 103 80
47 B 101 36
48 B 98 87
49 B 104 62
50 S 104 92
51 S 104 71
52 B 103 62
53 B 102 29
54 S 104 46
55 S 97 52
56 B 100 17
57 S 96 42
58 B 105 11
59 B 98 56
60 S 103 58
61 B 97 62
62 S 105 42
63 S 104 65
64 B 105 17
65 B 102 75
66 S 103 71
67 S 95 5
68 B 99 43
69 B 102 92
70 S 98 30
71 S 105 73
72 B 100 56
73 B 95 80
74 S 98 97
75 B 103 57
76 B 105 35
77 B 101 28
78 S 104 51
79 S 95 57
80 B 105 55
81 S 103 44
82 S 102 73
83 S 100 61
84 S 101 7
85 B 105 89
86 B 103 93
87 B 96 43
88 B 102 91
89 B 98 13
90 B 105 25
91 B 96 69
92 S 101 37
93 B 97 33
94 S 104 25
95 B 98 85
96 B 100 96
97 B 96 61
98 S 97 20
99 B 105 60
100 B 99 25
101 B 97 58
102 S 105 34
103 S 105 88
104 B 95 34
105 S 102 56
106 S 96 80
107 S 97 34
108 S 101 4
109 B 104 64
110 B 95 90
111 B 96 28
112 S 105 42
113 B 102 30
114 B 99 87
115 S 96 53
116 S 105 40
117 B 95 56
118 S 105 66
119 S 101 26
120 S 103 14
121 B 99 40
122 S 104 64
123 S 97 19
124 B 99 89
125 S 105 51
126 S 101 19
127 S 102 83
128 B 95 26
129 B 101 8
130 B 104 80
131 B 102 70
132 S 101 43
133 S 95 1
134 S 102 81
135 B 101 45
136 B 102 63
137 S 103 38
138 B 105 8
139 S 101 82
140 S 96 38
141 B 104 63
142 S 100 52
143 S 98 78
144 S 96 8
145 B 99 44
146 B 101 4
147 S 101 34
148 S 95 23
149 S 102 19
150 S 95 29
151 B 98 30
152 S 96 18
153 B 100 91
154 S 95 62
155 B 95 56
156 S 98 89
157 B 102 39
158 B 102 30
159 B 103 2
160 B 99 20
161 B 103 94
162 S 101 25
163 S 99 42
164 B 99 94
165 B 95 74
166 S 105 90
167 B 95 45
168 B 104 55
169 B 96 18
170 S 102 19
171 B 96 86
172 B 98 89
173 B 103 14
174 S 98 91
